City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,mantua,45.1667,10.7833,48.09,91,100,5.01,IT,1704672888
302,mount isa,-20.7333,139.5,80.37,83,100,5.75,AU,1704672888
303,durusu,41.3053,28.6767,57.38,74,57,5.01,TR,1704672889
304,ayan,56.45,138.1667,-15.2,81,32,5.08,RU,1704672889
305,acapulco,16.8634,-99.8901,82.22,74,75,3.44,MX,1704672762
306,boddam,57.4667,-1.7833,29.43,73,23,2.44,GB,1704672889
307,daman,20.4167,72.85,74.43,65,71,5.41,IN,1704672889
308,chifeng,42.2683,118.9636,9.63,77,71,5.01,CN,1704672889
309,clyde river,70.4692,-68.5914,-18.17,69,0,4.61,CA,1704672889
310,oga,46.4631,10.347,23.54,98,100,6.51,IT,1704672890
311,igunga,-4.2833,33.8833,66.27,91,96,2.82,TZ,1704672858
312,goderich,43.7501,-81.7165,34.92,93,100,4.61,CA,1704672890
313,puerto penasco,31.3167,-113.5333,58.98,21,0,14.97,MX,1704672891
314,woodward,36.4337,-99.3904,47.43,64,0,16.11,US,1704672891
315,severnyy,50.677,36.5532,2.62,77,0,15.99,RU,1704672891
316,nemuro,43.3236,145.575,31.24,70,31,17.69,JP,1704672859
317,lusambo,-4.9667,23.45,71.2,99,100,1.88,CD,1704672891
318,pringsewu,-5.3582,104.9744,75.31,93,100,1.43,ID,1704672892
319,dunedin,-45.8742,170.5036,72.07,49,96,5.53,NZ,1704672892
320,blantyre,-15.785,35.0085,66.83,96,100,4.65,MW,1704672892
321,kimbe,-5.5502,150.1429,87.84,65,73,2.48,PG,1704672892
322,westport,41.1415,-73.3579,35.58,85,100,5.75,US,1704672892
323,burns lake,54.2331,-125.7533,24.22,97,100,2.62,CA,1704672893
324,fuldabruck,51.2667,9.4833,29.37,80,75,6.91,DE,1704672893
325,saint-augustin,51.226,-58.6502,12.76,63,0,16.04,CA,1704672893
326,castro,-24.7911,-50.0119,72.43,60,56,2.51,BR,1704672893
327,moose factory,51.2585,-80.6094,10.38,85,100,4.61,CA,1704672893
328,bandarbeyla,9.4942,50.8122,74.46,66,37,17.96,SO,1704672894
329,freeport,40.6576,-73.5832,37.98,79,100,16.11,US,1704672751
330,dukat,62.55,155.55,-30.71,96,100,4.59,RU,1704672894
331,talaya,61.3833,152.75,-31.92,98,100,0.2,RU,1704672894
332,albanel,48.8832,-72.4487,14.14,92,100,4.61,CA,1704672894
333,chokurdakh,70.6333,147.9167,-18.18,98,100,9.48,RU,1704672894
334,talnakh,69.4865,88.3972,-7.8,98,100,10.4,RU,1704672895
335,rafai,4.95,23.9167,67.39,32,13,3.71,CF,1704672895
336,birobidzhan,48.8,132.95,-10.17,87,80,4.21,RU,1704672895
337,portel,-1.9356,-50.8211,75.69,94,100,4.21,BR,1704672895
338,luganville,-15.5333,167.1667,84.96,74,100,4.59,VU,1704672896
339,zhigansk,66.7697,123.3711,-42.07,97,78,7.38,RU,1704672896
340,belaya gora,68.5333,146.4167,-16.1,98,100,9.24,RU,1704672896
341,monrovia,6.3005,-10.7969,81.34,86,39,5.55,LR,1704672896
342,talcahuano,-36.7167,-73.1167,64.08,72,0,17.27,CL,1704672896
343,sijunjung,-0.6876,100.9537,73.53,98,100,0.25,ID,1704672897
344,rocha,-34.4833,-54.3333,68.56,97,100,2.84,UY,1704672806
345,vung tau,10.346,107.0843,76.55,80,69,11.77,VN,1704672897
346,okhotsk,59.3833,143.3,-27.96,82,31,9.93,RU,1704672897
347,krasnoarmeysk,51.0239,45.6969,0.19,96,96,4.72,RU,1704672897
348,sur,22.5667,59.5289,71.58,68,67,7.94,OM,1704672898
349,labrea,-7.2586,-64.7981,76.96,89,84,1.01,BR,1704672898
350,kerchevskiy,59.946,56.2884,-15.92,98,100,7.2,RU,1704672898
351,aushiger,43.3961,43.7317,37.78,56,100,2.24,RU,1704672898
352,andros town,24.7,-77.7667,73.36,86,52,16.71,BS,1704672898
353,kijang,35.2442,129.2139,24.53,28,2,3.31,KR,1704672899
354,parfino,57.9731,31.6481,-5.19,97,5,2.57,RU,1704672899
355,dalvik,65.9702,-18.5286,44.53,81,100,16.46,IS,1704672899
356,north bend,43.4065,-124.2243,47.16,76,75,19.57,US,1704672899
357,novyy nekouz,57.9029,38.07,-9.42,99,42,5.3,RU,1704672899
358,moa,20.6569,-74.9403,75.51,88,2,7.11,CU,1704672899
359,chapleau,47.8405,-83.4034,26.69,100,100,9.22,CA,1704672900
360,honningsvag,70.9821,25.9704,29.95,55,100,20.71,NO,1704672900
361,alcoy,38.7054,-0.4743,44.33,60,1,12.28,ES,1704672615
362,baykit,61.67,96.37,-26.09,100,100,3.0,RU,1704672837
363,ilulissat,69.2167,-51.1,19.42,68,100,17.27,GL,1704672900
364,cravo norte,6.3017,-70.2041,84.78,44,99,5.12,CO,1704672901
